City,Population,Longitude,Latitude
Kirke Helsinge,515,11.2062149,55.5149483
Spangsbro,749,11.1483228,55.6906672
Kalundborg,16659,11.0993619,55.6833793
Svallerup,251,11.1773229,55.6075842
Årby,414,11.1428453,55.6461726
Bjerge,219,11.1907983,55.588611
Gørlev,2396,11.2272253,55.5404225
Svebølle,2288,11.2867244,55.650812
Havnsø,917,11.3232496,55.7518479
Eskebjerg,243,11.3051658,55.7131534
Føllenslev,336,11.3508868,55.7257505
Snertinge,885,11.3826352,55.7135915
Høng,4304,11.2927612,55.5084661
Rørby,719,11.1638155,55.6460117
Ubby,1865,11.2157333,55.6163509
Kaldred,407,11.2651447,55.6977899
Jystrup,875,11.8664484,55.5154427
Gyrstinge,343,11.6855931,55.4886126
Fjællebro,224,11.9003807,55.4486801
Kværkeby,585,11.8746167,55.4613889
Nordrup,325,11.8861449,55.4079805
Ortved,244,11.8652529,55.4950009
Vigersted,555,11.889326,55.4841276
Vetterslev,650,11.7661951,55.3875244
Høm,468,11.7829493,55.4114361
Ringsted,24094,11.7975218,55.446817
Sneslev,415,11.8449545,55.386553
Farendløse,345,11.8885803,55.3910193
Forlev,2551,11.261137,55.3711069
Korsør,14323,11.1425876,55.3266045
Boeslunde,759,11.2649511,55.3026906
Kirke Stillinge,738,11.2439704,55.435673
Havrebjerg,386,11.316154,55.4481611
Sørbymagle,1111,11.4417457,55.362082
Flakkebjerg,442,11.3970026,55.312407
Dalmose,963,11.416817,55.2954669
Bisserup,499,11.4967311,55.2027418
Rude,288,11.4682887,55.2330518
Skælskør,6304,11.2942011,55.2521101
Slagelse,35817,11.3525415,55.4061196
Slots Bjergby,1019,11.3329339,55.3699905
Frølunde Fed,301,11.210742,55.3834258
Næsby Strand,218,11.0623247,54.7504749
Kongsmark Strand,232,11.1996174,55.4233088
Stillinge Strand,367,11.2097347,55.4419115
Rødvig,1844,12.3792675,55.2553773
Hårlev,2905,12.2300148,55.3489261
Hellested,569,12.2592509,55.3295533
Strøby,685,12.282865,55.3833436
Klippinge,490,12.32683,55.3486722
Magleby,313,12.4833328,54.9847627
Strøby Egede,5108,12.2417783,55.4166609
Valløby,748,12.2321792,55.4002608
Holtug,243,12.4062467,55.3410225
Store Heddinge,3633,12.3876252,55.3081175
Havnelev-Boestofte,221,12.3322447,55.2701594
Lyderslev,316,12.2901313,55.2729545
Dianalund,4111,11.4943548,55.5289218
Broby Overdrev,223,11.6079206,55.4027634
Fjenneslev,791,11.6699861,55.4395395
Tersløse,227,11.4886583,55.5110996
Ruds Vedby,1670,11.3793898,55.5410589
Nyrup,658,11.6070832,55.9322237
Stenlille,2087,11.5921211,55.5399115
Vedde,241,11.5438199,55.5315148
Munke Bjergby,325,11.5225805,55.5052672
Sorø,8433,11.5629363,55.4365822
Niløse,225,11.4974017,55.5581821
Gershøj,704,11.9671808,55.7118451
Gevninge,1636,11.959357,55.6450991
Lejre,3347,11.9737103,55.6043432
Øm,445,12.012415,55.5977074
Kirke Såby,1649,11.8718541,55.6331744
Torkilstrup,247,11.9336031,54.8718984
Kirke Hyllinge,2436,11.8985429,55.7067551
Kirke Hvalsø,4877,11.8598137,55.5935695
Lyndby,586,11.9345114,55.6697971
Englerup,285,11.8177826,55.6573673
Vester Såby,446,11.8372643,55.630128
Osted,2316,11.9605004,55.5617531
Kirke Sonnerup,945,11.8212105,55.649684
Lindenborg,267,10.0342545,56.9076466
Kyndeløse Sydmark,538,11.8552942,55.7038723
Dannemare,377,11.1879332,54.7604347
Rødbyhavn,1476,11.3619659,54.6649383
Rødby,1982,11.3902205,54.6940639
Errindlev,297,11.4954839,54.6670551
Langø,264,11.0196153,54.8134596
Horslunde,582,11.2188932,54.9112213
Sandby,336,11.0865303,54.8758151
Branderslev,207,11.1206302,54.8627813
Holeby,1343,11.4663897,54.7105473
Hillested,237,11.4474774,54.7532538
Nakskov,12200,11.1493517,54.8304979
Stokkemarke,401,11.3647404,54.8368883
Søllested,1356,11.2709858,54.8124093
Nørreballe,476,11.4301263,54.8062652
Bandholm,440,11.4830145,54.8364445
Hunseby,395,11.5217771,54.79657
Maribo,5786,11.5054333,54.7758018
Everdrup,256,11.9581354,55.2018593
Glumsø,2249,11.6880884,55.3544773
Fensmark,5190,11.8057859,55.2767747
Holme-Olstrup,1278,11.8511796,55.2589441
Næstved,45199,11.7674102,55.2328252
Rønnebæk,592,11.8123343,55.2172911
Mogenstrup,2106,11.8566727,55.1799214
Sandved,671,11.5208995,55.2626288
Tornemark,296,11.5250215,55.2422461
Hyllinge,439,11.5996011,55.2571963
Menstrup,217,11.5822077,55.2132277
Skraverup,231,11.6853548,55.2101438
Karrebæksminde,1811,11.6468481,55.1780155
Lov,577,11.8559103,55.1639816
Toksværd,844,11.8822366,55.2522261
Fuglebjerg,2275,11.5448821,55.3029071
Skelby,274,11.6792841,55.3146748
Tappernøje,1704,11.9793075,55.1648293
Herlufmagle,1457,11.752538,55.3135052
Tybjerglille Bakker,322,11.8046453,55.3320543
Vallensved,259,11.654858,55.2648651
Enø By,363,11.6699645,55.1716789
Grænge,368,11.7641752,54.7706771
Toreby,614,11.7878775,54.7534771
Hasselø Plantage,212,11.8779656,54.7406108
Nagelsti,537,11.8457643,54.7468797
Nykøbing F,16682,11.8709918,54.7646137
Sundby,3246,11.7927401,54.8642307
Systofte Skovby,343,11.9057814,54.7855777
Kettinge,516,11.7292711,54.6954788
Eskilstrup,1093,11.8840358,54.8568436
Tingsted,228,11.9043963,54.8138013
Ønslev,395,11.8547775,54.8500249
Vålse,207,11.7778331,54.9300235
Orehoved,426,11.8551947,54.9518091
Øster Kippinge,269,11.7986664,54.8976755
Nørre Alslev,2363,11.8762497,54.8970181
Nysted,1229,11.7330766,54.6627868
Gedser,632,11.9313561,54.5770446
Væggerløse,1302,11.9252193,54.7106985
Idestrup,1135,11.9583204,54.7427332
Sønder Vedby Skovhuse,295,11.9117016,54.7628854
Øster Ulslev,241,11.6275418,54.696604
Sakskøbing,4514,11.6341381,54.798788
Horbelev,536,12.057096,54.8231469
Horreby,273,11.9926675,54.8004755
Guldborg,495,11.7447134,54.8717325
Stubbekøbing,2214,12.0381564,54.888364
Nordbyen,1984,11.8832489,54.8007503
Nykøbing Strandhuse,290,11.9497043,54.6600397
Marielyst,633,11.9669009,54.6902043
Køng,920,11.8101985,55.1178666
Lundby,819,10.6083754,54.9916427
Bårse,518,11.9517513,55.1258727
Stensved,1522,12.0272237,54.9963766
Klarskov,207,11.8708509,55.0670095
Vordingborg,12093,11.9097478,55.0102518
Borre,235,12.4487267,54.9955229
Kalvehave,577,12.1631205,54.9977367
Stege,3765,12.2861344,54.9863794
Bogø By,927,12.0528486,54.9232677
Store Damme,543,12.1595126,54.9151383
Præstø,3939,12.0538374,55.1178943
Skibinge,338,12.0324218,55.106278
Gammel Kalvehave,705,12.1364379,54.9982167
Allerslev,262,12.0350289,55.0821443
Nyråd,2524,11.9658759,55.003743
Ørslev,1979,11.9638538,55.0414258
Langebæk,257,12.0908672,54.9974289
Mern,969,12.0556557,55.0484274
Middelfart,16749,9.7392181,55.4993014
Brenderup,1486,9.9727431,55.4897878
Fjelsted,306,10.0147207,55.4409948
Harndrup,605,10.0200671,55.4649229
Gelsted,1702,9.9733782,55.3975498
Båring,970,9.9091618,55.485948
Nørre Aaby,3196,9.878534,55.457787
Strib,5280,9.7763619,55.5369188
Kauslunde,494,9.8099636,55.4807774
Røjle,234,9.809634,55.5190784
Verninge,757,10.206845,55.2910347
Grønnemose,400,10.0520849,55.4171128
Turup,302,9.9915194,55.3004435
Glamsbjerg,3322,10.1087429,55.2783263
Assens,7374,9.9002174,55.265798
Skallebølle,707,10.1902325,55.3881319
Tommerup Stationsby,2469,10.1790368,55.3460894
Tommerup,1567,10.205183,55.3205379
Jordløse,318,10.1560718,55.2001097
Brylle,1306,10.2474251,55.3243706
Ebberup,1233,9.9736869,55.2421087
Flemløse,581,10.0701474,55.2413407
Snave,212,10.0348009,55.2118345
Haarby,2533,10.1258184,55.2203305
Aarup,3237,10.0510648,55.3763248
Skalbjerg,575,10.1451182,55.3671831
Vissenbjerg,3251,10.1315832,55.3863025
Espe,492,10.4116598,55.2025581
Gislev,1238,10.5977136,55.2172001
Millinge,498,10.2157771,55.1304185
Diernæs,296,10.2905107,55.1062273
Faaborg,6763,10.2428246,55.097087
Bøjden,275,10.1052145,55.1037624
Faldsled,485,10.1507749,55.1486665
Horne,837,10.1672537,55.108495
Håstrup,331,10.196156,55.1729153
Vester Hæsinge,403,10.2479643,55.1956396
Korinth,902,10.325925,55.1430714
Ringe,6822,10.481895,55.2351317
Ryslinge,1989,10.5350416,55.2354677
Nørre Broby,1456,10.2322458,55.2547103
Brobyværk,1071,10.2541863,55.2301366
Heden,218,10.3674477,55.2487651
Søllinge,236,10.5358314,55.2868937
Nørre Lyndelse,2337,10.3944129,55.3006566
Årslev,4447,10.4711821,55.305281
Nørre Søby,893,10.3801895,55.2858121
Vester Åby,793,10.3775757,55.0852092
Kværndrup,1680,10.5256048,55.1783707
Ferritslev,1043,10.5868271,55.3091337
Rolsted,482,10.568199,55.3207001
Tarup,267,10.3444208,55.4111882
Herringe,214,10.4555831,55.2011979
Krarup,203,10.4197779,55.1641062
Åstrup,208,12.0848966,54.8488708
Munkebo,5423,10.5536985,55.4568372
