City,Population,Latitude,Longitude
Frølunde Fed,301,55.3834258,11.210742
Næsby Strand,218,54.7504749,11.0623247
Kongsmark Strand,232,55.4233088,11.1996174
Stillinge Strand,367,55.4419115,11.2097347
Rødvig,1844,55.2553773,12.3792675
Hårlev,2905,55.3489261,12.2300148
Hellested,569,55.3295533,12.2592509
Strøby,685,55.3833436,12.282865
Klippinge,490,55.3486722,12.32683
Magleby,313,54.9847627,12.4833328
Strøby Egede,5108,55.4166609,12.2417783
Valløby,748,55.4002608,12.2321792
Holtug,243,55.3410225,12.4062467
Store Heddinge,3633,55.3081175,12.3876252
Havnelev-Boestofte,221,55.2701594,12.3322447
Lyderslev,316,55.2729545,12.2901313
Dianalund,4111,55.5289218,11.4943548
Broby Overdrev,223,55.4027634,11.6079206
Fjenneslev,791,55.4395395,11.6699861
Tersløse,227,55.5110996,11.4886583
Ruds Vedby,1670,55.5410589,11.3793898
Nyrup,658,55.9322237,11.6070832
Stenlille,2087,55.5399115,11.5921211
Vedde,241,55.5315148,11.5438199
Munke Bjergby,325,55.5052672,11.5225805
Sorø,8433,55.4365822,11.5629363
Niløse,225,55.5581821,11.4974017
Gershøj,704,55.7118451,11.9671808
Gevninge,1636,55.6450991,11.959357
Lejre,3347,55.6043432,11.9737103
Øm,445,55.5977074,12.012415
Kirke Såby,1649,55.6331744,11.8718541
Torkilstrup,247,54.8718984,11.9336031
Kirke Hyllinge,2436,55.7067551,11.8985429
Kirke Hvalsø,4877,55.5935695,11.8598137
Lyndby,586,55.6697971,11.9345114
Englerup,285,55.6573673,11.8177826
Vester Såby,446,55.630128,11.8372643
Osted,2316,55.5617531,11.9605004
Kirke Sonnerup,945,55.649684,11.8212105
Lindenborg,267,56.9076466,10.0342545
Kyndeløse Sydmark,538,55.7038723,11.8552942
Dannemare,377,54.7604347,11.1879332
Rødbyhavn,1476,54.6649383,11.3619659
Rødby,1982,54.6940639,11.3902205
Errindlev,297,54.6670551,11.4954839
Langø,264,54.8134596,11.0196153
Horslunde,582,54.9112213,11.2188932
Sandby,336,54.8758151,11.0865303
Branderslev,207,54.8627813,11.1206302
Holeby,1343,54.7105473,11.4663897
Hillested,237,54.7532538,11.4474774
Nakskov,12200,54.8304979,11.1493517
Stokkemarke,401,54.8368883,11.3647404
Søllested,1356,54.8124093,11.2709858
Nørreballe,476,54.8062652,11.4301263
Bandholm,440,54.8364445,11.4830145
Hunseby,395,54.79657,11.5217771
Maribo,5786,54.7758018,11.5054333
Everdrup,256,55.2018593,11.9581354
Glumsø,2249,55.3544773,11.6880884
Fensmark,5190,55.2767747,11.8057859
Holme-Olstrup,1278,55.2589441,11.8511796
Næstved,45199,55.2328252,11.7674102
Rønnebæk,592,55.2172911,11.8123343
Mogenstrup,2106,55.1799214,11.8566727
Sandved,671,55.2626288,11.5208995
Tornemark,296,55.2422461,11.5250215
Hyllinge,439,55.2571963,11.5996011
Menstrup,217,55.2132277,11.5822077
Skraverup,231,55.2101438,11.6853548
Karrebæksminde,1811,55.1780155,11.6468481
Lov,577,55.1639816,11.8559103
Toksværd,844,55.2522261,11.8822366
Fuglebjerg,2275,55.3029071,11.5448821
Skelby,274,55.3146748,11.6792841
Tappernøje,1704,55.1648293,11.9793075
Herlufmagle,1457,55.3135052,11.752538
Tybjerglille Bakker,322,55.3320543,11.8046453
Vallensved,259,55.2648651,11.654858
Enø By,363,55.1716789,11.6699645
Grænge,368,54.7706771,11.7641752
Toreby,614,54.7534771,11.7878775
Hasselø Plantage,212,54.7406108,11.8779656
Nagelsti,537,54.7468797,11.8457643
Nykøbing F,16682,54.7646137,11.8709918
Sundby,3246,54.8642307,11.7927401
Systofte Skovby,343,54.7855777,11.9057814
Kettinge,516,54.6954788,11.7292711
Eskilstrup,1093,54.8568436,11.8840358
Tingsted,228,54.8138013,11.9043963
Ønslev,395,54.8500249,11.8547775
Vålse,207,54.9300235,11.7778331
Orehoved,426,54.9518091,11.8551947
Øster Kippinge,269,54.8976755,11.7986664
Nørre Alslev,2363,54.8970181,11.8762497
Nysted,1229,54.6627868,11.7330766
Gedser,632,54.5770446,11.9313561
